"filename", "language", "TypeScript", "Markdown", "CSS", "TypeScript JSX", "XML", "comment", "blank", "total"
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\services\picsumImageGenerationService.ts", "TypeScript", 35, 0, 0, 0, 0, 8, 6, 49
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\setupTests.ts", "TypeScript", 1, 0, 0, 0, 0, 4, 1, 6
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\store\README.md", "Markdown", 0, 200, 0, 0, 0, 0, 50, 250
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\store\slices\appStateSlice.ts", "TypeScript", 93, 0, 0, 0, 0, 2, 7, 102
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\store\slices\comicPagesSlice.ts", "TypeScript", 60, 0, 0, 0, 0, 1, 6, 67
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\store\slices\imageLibrarySlice.ts", "TypeScript", 51, 0, 0, 0, 0, 1, 6, 58
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\store\store.ts", "TypeScript", 16, 0, 0, 0, 0, 1, 3, 20
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\types\comic.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 4, 31
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\types\uuid.d.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 3
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\utils\README.md", "Markdown", 0, 14, 0, 0, 0, 0, 6, 20
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\utils\__tests__\mathUtils.test.ts", "TypeScript", 114, 0, 0, 0, 0, 4, 21, 139
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\utils\__tests__\promptStorage.test.ts", "TypeScript", 53, 0, 0, 0, 0, 5, 8, 66
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\utils\consts.ts", "TypeScript", 3, 0, 0, 0, 0, 1, 0, 4
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\utils\layouts.test.ts", "TypeScript", 110, 0, 0, 0, 0, 11, 19, 140
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\utils\layouts.ts", "TypeScript", 278, 0, 0, 0, 0, 28, 38, 344
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\utils\mathUtils.ts", "TypeScript", 92, 0, 0, 0, 0, 32, 23, 147
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\utils\panelUtils.test.ts", "TypeScript", 336, 0, 0, 0, 0, 6, 31, 373
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\utils\panelUtils.ts", "TypeScript", 179, 0, 0, 0, 0, 21, 31, 231
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\utils\polygonUtils.ts", "TypeScript", 32, 0, 0, 0, 0, 0, 9, 41
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\utils\promptBuilder.ts", "TypeScript", 56, 0, 0, 0, 0, 12, 9, 77
"Total", "-", 1656, 373, 78, 4590, 1, 245, 838, 7781
