"filename", "language", "JSON", "JSON with Comments", "TypeScript", "CSS", "TypeScript JSX", "XML", "Markdown", "HTML", "comment", "blank", "total"
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\components\Header\SystemContextModal.md", "Markdown", 0, 0, 0, 0, 0, 0, 50, 0, 0, 17, 67
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\components\Header\SystemContextModal.stories.tsx", "TypeScript JSX", 0, 0, 0, 0, 76, 0, 0, 0, 0, 7, 83
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\components\Header\SystemContextModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 467, 0, 0, 0, 4, 49, 520
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\components\Header\__tests__\SystemContextModal.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 141, 0, 0, 0, 10, 23, 174
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\components\ImageLibrary\DeleteConfirmationModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 130, 0, 0, 0, 0, 12, 142
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\components\ImageLibrary\ImageLibrary.tsx", "TypeScript JSX", 0, 0, 0, 0, 198, 0, 0, 0, 1, 18, 217
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\components\ImageLibrary\LibraryImage.stories.tsx", "TypeScript JSX", 0, 0, 0, 0, 144, 0, 0, 0, 1, 9, 154
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\components\ImageLibrary\LibraryImage.tsx", "TypeScript JSX", 0, 0, 0, 0, 125, 0, 0, 0, 0, 10, 135
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\components\Image\Image.stories.tsx", "TypeScript JSX", 0, 0, 0, 0, 212, 0, 0, 0, 1, 9, 222
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\components\Image\Image.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 55, 0, 0, 0, 0, 9, 64
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\components\Image\Image.tsx", "TypeScript JSX", 0, 0, 0, 0, 158, 0, 0, 0, 2, 14, 174
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\components\Image\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 83, 0, 0, 24, 107
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\components\Image\index.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\components\Modal\Modal.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 62, 0, 0, 0, 0, 13, 75
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\components\Modal\Modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 108, 0, 0, 0, 1, 9, 118
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\components\Modal\index.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\components\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 7, 0, 0, 4, 11
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\components\TemplateSelector\TemplateSelector.tsx", "TypeScript JSX", 0, 0, 0, 0, 135, 0, 0, 0, 3, 13, 151
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\index.css", "CSS", 0, 0, 0, 45, 0, 0, 0, 0, 4, 11, 60
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 18, 0, 0, 0, 3, 3, 24
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\logo.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\reportWebVitals.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\services\__tests__\openAIImageGenerationService.test.ts", "TypeScript", 0, 0, 138, 0, 0, 0, 0, 0, 6, 20, 164
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\services\imageGeneratorService.ts", "TypeScript", 0, 0, 31, 0, 0, 0, 0, 0, 3, 6, 40
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\services\openAIImageGenerationService.ts", "TypeScript", 0, 0, 125, 0, 0, 0, 0, 0, 22, 18, 165
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\services\picsumImageGenerationService.ts", "TypeScript", 0, 0, 62, 0, 0, 0, 0, 0, 12, 8, 82
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\setupTests.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 4, 1, 6
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\store\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 200, 0, 0, 50, 250
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\store\slices\appStateSlice.ts", "TypeScript", 0, 0, 93, 0, 0, 0, 0, 0, 2, 7, 102
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\store\slices\comicPagesSlice.ts", "TypeScript", 0, 0, 60, 0, 0, 0, 0, 0, 1, 6, 67
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\store\slices\imageLibrarySlice.ts", "TypeScript", 0, 0, 51, 0, 0, 0, 0, 0, 1, 6, 58
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\store\store.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 1, 3, 20
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\types\comic.ts", "TypeScript", 0, 0, 30, 0, 0, 0, 0, 0, 0, 6, 36
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\types\uuid.d.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\utils\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 14, 0, 0, 6, 20
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\utils\__tests__\mathUtils.test.ts", "TypeScript", 0, 0, 114, 0, 0, 0, 0, 0, 4, 21, 139
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\utils\__tests__\promptStorage.test.ts", "TypeScript", 0, 0, 53, 0, 0, 0, 0, 0, 5, 8, 66
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\utils\consts.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 1, 0, 4
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\utils\layouts.test.ts", "TypeScript", 0, 0, 110, 0, 0, 0, 0, 0, 11, 19, 140
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\utils\layouts.ts", "TypeScript", 0, 0, 278, 0, 0, 0, 0, 0, 28, 38, 344
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\utils\mathUtils.ts", "TypeScript", 0, 0, 92, 0, 0, 0, 0, 0, 32, 23, 147
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\utils\panelUtils.test.ts", "TypeScript", 0, 0, 336, 0, 0, 0, 0, 0, 6, 31, 373
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\utils\panelUtils.ts", "TypeScript", 0, 0, 179, 0, 0, 0, 0, 0, 21, 31, 231
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\utils\polygonUtils.ts", "TypeScript", 0, 0, 32, 0, 0, 0, 0, 0, 0, 9, 41
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\utils\promptBuilder.ts", "TypeScript", 0, 0, 108, 0, 0, 0, 0, 0, 27, 18, 153
"\\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\tsconfig.json", "JSON with Comments", 0, 26, 0, 0, 0, 0, 0, 0, 0, 1, 27
"Total", "-", 20201, 26, 1983, 78, 6358, 1, 508, 23, 320, 1107, 30605
