Date : 2025-06-28 10:27:01
Directory : \\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker
Total : 80 files,  29178 codes, 320 comments, 1107 blanks, all 30605 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| \\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\utils\consts.ts                                                 | TypeScript         |          3 |          1 |          0 |          4 |
| \\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\utils\layouts.test.ts                                           | TypeScript         |        110 |         11 |         19 |        140 |
| \\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\utils\layouts.ts                                                | TypeScript         |        278 |         28 |         38 |        344 |
| \\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\utils\mathUtils.ts                                              | TypeScript         |         92 |         32 |         23 |        147 |
| \\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\utils\panelUtils.test.ts                                        | TypeScript         |        336 |          6 |         31 |        373 |
| \\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\utils\panelUtils.ts                                             | TypeScript         |        179 |         21 |         31 |        231 |
| \\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\utils\polygonUtils.ts                                           | TypeScript         |         32 |          0 |          9 |         41 |
| \\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\src\utils\promptBuilder.ts                                          | TypeScript         |        108 |         27 |         18 |        153 |
| \\wsl.localhost\Ubuntu\home\dpotter\code\comic-maker\tsconfig.json                                                       | JSON with Comments |         26 |          0 |          1 |         27 |
| Total                                                                                                                    |                    |     29,178 |        320 |      1,107 |     30,605 |
+--------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
